# Arcturus (Up to date)
# 3227 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
22.542,3111.7,23.063,9.8641
22.552,3111.9,22.965,9.8634
22.562,3112.1,22.867,9.8627
22.572,3112.3,22.77,9.8619
22.582,3112.6,22.672,9.8612
22.592,3112.8,22.574,9.8604
22.602,3113,22.477,9.8597
22.612,3113.2,22.379,9.859
22.622,3113.4,22.282,9.8583
22.632,3113.7,22.184,9.8576
22.642,3113.9,22.086,9.8569
22.652,3114.1,21.989,9.8563
22.662,3114.3,21.891,9.8557
22.672,3114.5,21.794,9.8552
22.682,3114.8,21.696,9.8546
22.692,3115,21.599,9.8541
22.702,3115.2,21.501,9.8536
22.712,3115.4,21.404,9.853
22.722,3115.6,21.306,9.8525
22.732,3115.8,21.209,9.8519
22.742,3116,21.112,9.8514
22.752,3116.2,21.014,9.8508
22.762,3116.4,20.917,9.8499
22.772,3116.6,20.819,9.8491
22.782,3116.9,20.722,9.8483
22.792,3117.1,20.625,9.8475
22.802,3117.3,20.527,9.8467
22.812,3117.5,20.43,9.8462
22.822,3117.7,20.333,9.8456
22.832,3117.9,20.236,9.845
22.842,3118.1,20.138,9.8445
22.852,3118.3,20.041,9.8439
22.862,3118.5,19.944,9.8432
22.872,3118.7,19.847,9.8425
22.882,3118.8,19.749,9.8418
22.892,3119,19.652,9.8411
22.902,3119.2,19.555,9.8403
22.912,3119.4,19.458,9.8395
22.922,3119.6,19.361,9.8387
22.932,3119.8,19.264,9.8379
22.942,3120,19.167,9.8371
22.952,3120.2,19.07,9.8363
22.962,3120.4,18.973,9.8358
22.972,3120.6,18.876,9.8352
22.982,3120.7,18.779,9.8347
22.992,3120.9,18.682,9.8341
23.002,3121.1,18.585,9.8336
23.012,3121.3,18.488,9.8332
23.022,3121.5,18.391,9.8328
23.032,3121.7,18.294,9.8324
23.042,3121.8,18.197,9.832
23.052,3122,18.1,9.8316
23.062,3122.2,18.003,9.8311
23.072,3122.4,17.906,9.8306
23.082,3122.5,17.81,9.8301
23.092,3122.7,17.713,9.8296
23.102,3122.9,17.616,9.8291
23.112,3123.1,17.519,9.8285
23.122,3123.2,17.423,9.8279
23.132,3123.4,17.326,9.8274
23.142,3123.6,17.229,9.8268
23.152,3123.7,17.133,9.8262
23.162,3123.9,17.036,9.8255
23.172,3124.1,16.939,9.8248
23.182,3124.2,16.843,9.8241
23.192,3124.4,16.746,9.8235
23.202,3124.6,16.65,9.8228
23.212,3124.7,16.553,9.8223
23.222,3124.9,16.457,9.8217
23.232,3125.1,16.36,9.8211
23.242,3125.2,16.264,9.8206
23.252,3125.4,16.167,9.82
23.262,3125.5,16.071,9.8195
23.272,3125.7,15.975,9.819
23.282,3125.9,15.878,9.8185
23.292,3126,15.782,9.8181
23.302,3126.2,15.686,9.8176
23.312,3126.3,15.589,9.8173
23.322,3126.5,15.493,9.8171
23.332,3126.6,15.397,9.8168
23.342,3126.8,15.301,9.8166
23.352,3126.9,15.205,9.8163
23.362,3127.1,15.109,9.8158
23.372,3127.2,15.012,9.8153
23.382,3127.4,14.916,9.8148
23.392,3127.5,14.82,9.8144
23.402,3127.6,14.724,9.8139
23.412,3127.8,14.629,9.8132
23.422,3127.9,14.533,9.8125
23.432,3128.1,14.437,9.8118
23.442,3128.2,14.341,9.8111
23.452,3128.4,14.245,9.8104
23.462,3128.5,14.149,9.8097
23.472,3128.6,14.054,9.8089
23.482,3128.8,13.958,9.8082
23.492,3128.9,13.862,9.8074
23.502,3129,13.767,9.8067
23.512,3129.2,13.671,9.806
23.522,3129.3,13.575,9.8054
23.532,3129.4,13.48,9.8047
23.542,3129.6,13.384,9.8041
23.552,3129.7,13.289,9.8034
23.562,3129.8,13.194,9.8029
23.572,3130,13.098,9.8024
23.582,3130.1,13.003,9.8019
23.592,3130.2,12.908,9.8014
23.602,3130.3,12.812,9.8008
23.612,3130.5,12.717,9.8002
23.622,3130.6,12.622,9.7996
23.632,3130.7,12.527,9.799
23.642,3130.8,12.432,9.7984
23.652,3130.9,12.337,9.7979
23.662,3131.1,12.242,9.7977
23.672,3131.2,12.147,9.7974
23.682,3131.3,12.052,9.7972
23.692,3131.4,11.957,9.797
23.702,3131.5,11.863,9.7967
23.712,3131.6,11.768,9.7964
23.722,3131.7,11.673,9.796
23.732,3131.9,11.579,9.7957
23.742,3132,11.484,9.7953
23.752,3132.1,11.39,9.7949
23.762,3132.2,11.296,9.7942
23.772,3132.3,11.201,9.7934
23.782,3132.4,11.107,9.7927
23.792,3132.5,11.013,9.792
23.802,3132.6,10.919,9.7913
23.812,3132.7,10.825,9.7907
23.822,3132.8,10.731,9.7901
23.832,3132.9,10.637,9.7896
23.842,3133,10.543,9.789
23.852,3133.1,10.449,9.7884
23.862,3133.2,10.356,9.7881
23.872,3133.3,10.262,9.7878
23.882,3133.4,10.169,9.7875
23.892,3133.5,10.075,9.7872
23.902,3133.6,9.9821,9.7869
23.912,3133.7,9.8889,9.7868
23.922,3133.8,9.7958,9.7867
23.932,3133.9,9.7028,9.7866
23.942,3134,9.6099,9.7865
23.952,3134.1,9.5171,9.7863
23.962,3134.2,9.4245,9.7859
23.972,3134.2,9.3319,9.7855
23.982,3134.3,9.2394,9.7851
23.992,3134.4,9.1471,9.7847
24.002,3134.5,9.0548,9.7844
24.012,3134.6,8.9627,9.7841
24.022,3134.7,8.8707,9.7838
24.032,3134.8,8.7789,9.7836
24.042,3134.8,8.6872,9.7833
24.052,3134.9,8.5956,9.7829
24.062,3135,8.5042,9.7822
24.072,3135.1,8.4129,9.7815
24.082,3135.2,8.3218,9.7808
24.092,3135.2,8.2308,9.7801
24.102,3135.3,8.14,9.7794
24.112,3135.4,8.0493,9.7786
24.122,3135.5,7.9588,9.7778
24.132,3135.5,7.8685,9.777
24.142,3135.6,7.7784,9.7764
24.152,3135.7,7.6884,9.776
24.162,3135.7,7.5987,9.7759
24.172,3135.8,7.5092,9.7758
24.182,3135.9,7.4198,9.7758
24.192,3135.9,7.3308,9.7757
24.202,3136,7.2419,9.7755
24.212,3136.1,7.1533,9.7748
24.222,3136.1,7.0649,9.7741
24.232,3136.2,6.9767,9.7734
24.242,3136.3,6.8888,9.7727
24.252,3136.3,6.8012,9.772
24.262,3136.4,6.7139,9.7717
24.272,3136.4,6.6269,9.7713
24.282,3136.5,6.5401,9.7709
24.292,3136.6,6.4537,9.7706
24.302,3136.6,6.3676,9.7702
24.312,3136.7,6.2819,9.7698
24.322,3136.7,6.1965,9.7694
24.332,3136.8,6.1115,9.769
24.342,3136.8,6.0269,9.7686
24.352,3136.9,5.9427,9.7682
24.362,3136.9,5.8589,9.7676
24.372,3137,5.7755,9.767
24.382,3137,5.6926,9.7664
24.392,3137.1,5.6102,9.7657
24.402,3137.1,5.5282,9.7651
24.412,3137.2,5.4468,9.7645
24.422,3137.2,5.3659,9.7639
24.432,3137.3,5.2856,9.7633
24.442,3137.3,5.2059,9.7626
24.452,3137.3,5.1268,9.7621
24.462,3137.4,5.0484,9.7618
24.472,3137.4,4.9706,9.7615
24.482,3137.5,4.8936,9.7612
24.492,3137.5,4.8173,9.7609
24.502,3137.5,4.7418,9.7606
24.512,3137.6,4.6671,9.7603
24.522,3137.6,4.5933,9.76
24.532,3137.6,4.5203,9.7597
24.542,3137.7,4.4484,9.7594
24.552,3137.7,4.3774,9.7589
24.562,3137.7,4.3075,9.7581
24.572,3137.8,4.2386,9.7572
24.582,3137.8,4.1709,9.7563
24.592,3137.8,4.1044,9.7554
24.602,3137.8,4.0391,9.7547
24.612,3137.9,3.9756,9.7846
24.622,3137.9,3.9137,9.7846
24.632,3137.9,3.8532,9.7845
24.642,3137.9,3.7943,9.7845
24.652,3138,3.7371,9.7845
24.662,3138,3.6815,9.7844
24.672,3138,3.6278,9.7843
24.682,3138,3.5759,9.7843
24.692,3138,3.526,9.7842
24.702,3138.1,3.4781,9.7841
24.712,3138.1,3.4323,9.7838
24.722,3138.1,3.3888,9.7836
24.732,3138.1,3.3475,9.7833
24.742,3138.1,3.3086,9.7831
24.752,3138.1,3.2722,9.7829
24.762,3138.1,3.2383,9.783
24.772,3138.2,3.2071,9.7831
24.782,3138.2,3.1786,9.7832
24.792,3138.2,3.1528,9.7832
24.802,3138.2,3.13,9.7833
24.812,3138.2,3.11,9.7833
24.822,3138.2,3.093,9.7832
24.832,3138.2,3.079,9.7832
24.842,3138.2,3.0681,9.7832
24.852,3138.2,3.0602,9.7831
24.862,3138.2,3.0555,9.7829
24.872,3138.2,3.0539,9.7828
24.882,3138.2,3.0555,9.7826
24.892,3138.2,3.0601,9.7824
24.902,3138.2,3.0679,9.7822
24.912,3138.2,3.0787,9.782
# Event APOGEE occurred at t=24.922 seconds
24.922,3138.2,3.0926,9.7817
24.932,3138.2,3.1096,9.7815
24.942,3138.2,3.1294,9.7813
24.952,3138.2,3.1522,9.7811
24.962,3138.2,3.1779,9.7809
24.972,3138.1,3.2063,9.7808
24.982,3138.1,3.2374,9.7806
24.992,3138.1,3.2711,9.7805
25.002,3138.1,3.3074,9.7803
25.012,3138.1,3.3461,9.7802
25.022,3138.1,3.3872,9.78
25.032,3138.1,3.4307,9.7798
25.042,3138.1,3.4763,9.7796
25.052,3138,3.524,9.7794
25.062,3138,3.5738,9.7791
25.072,3138,3.6255,9.7788
25.082,3138,3.6791,9.7785
25.092,3138,3.7344,9.7782
25.102,3137.9,3.7915,9.7779
25.112,3137.9,3.8502,9.7775
25.122,3137.9,3.9105,9.777
25.132,3137.9,3.9722,9.7766
25.142,3137.8,4.0353,9.7761
25.152,3137.8,4.0998,9.7757
25.162,3137.8,4.1656,9.7753
25.172,3137.8,4.2326,9.775
25.182,3137.7,4.3008,9.7746
25.192,3137.7,4.3701,9.7743
25.202,3137.7,4.4404,9.7738
25.212,3137.6,4.5118,9.7733
25.222,3137.6,4.5841,9.7727
25.232,3137.6,4.6573,9.7721
25.242,3137.5,4.7314,9.7715
25.252,3137.5,4.8064,9.7708
25.262,3137.5,4.8821,9.7703
25.272,3137.4,4.9586,9.7697
25.282,3137.4,5.0358,9.7691
25.292,3137.3,5.1137,9.7685
25.302,3137.3,5.1922,9.7678
25.312,3137.2,5.2714,9.7669
25.322,3137.2,5.3512,9.766
25.332,3137.2,5.4315,9.7651
25.342,3137.1,5.5124,9.7642
25.352,3137.1,5.5937,9.7632
25.362,3137,5.6756,9.7623
25.372,3137,5.758,9.7612
25.382,3136.9,5.8408,9.7602
25.392,3136.9,5.924,9.7591
25.402,3136.8,6.0076,9.758
25.412,3136.8,6.0916,9.7566
25.422,3136.7,6.176,9.7553
25.432,3136.7,6.2608,9.7539
25.442,3136.6,6.3459,9.7525
25.452,3136.5,6.4313,9.751
25.462,3136.5,6.517,9.7496
25.472,3136.4,6.603,9.7481
25.482,3136.4,6.6893,9.7465
25.492,3136.3,6.7759,9.745
25.502,3136.3,6.8627,9.7435
25.512,3136.2,6.9498,9.7426
25.522,3136.1,7.0372,9.7416
25.532,3136.1,7.1248,9.7407
25.542,3136,7.2126,9.7397
25.552,3135.9,7.3007,9.7385
25.562,3135.9,7.3889,9.7367
25.572,3135.8,7.4774,9.7348
25.582,3135.7,7.566,9.7329
25.592,3135.7,7.6548,9.731
25.602,3135.6,7.7438,9.729
25.612,3135.5,7.833,9.7272
25.622,3135.4,7.9223,9.7253
25.632,3135.4,8.0117,9.7233
25.642,3135.3,8.1013,9.7214
25.652,3135.2,8.1911,9.7194
25.662,3135.1,8.2809,9.7178
25.672,3135.1,8.3709,9.7161
25.682,3135,8.4611,9.7144
25.692,3134.9,8.5513,9.7126
25.702,3134.8,8.6417,9.7107
25.712,3134.7,8.7322,9.7083
25.722,3134.7,8.8228,9.7059
25.732,3134.6,8.9135,9.7034
25.742,3134.5,9.0042,9.7008
25.752,3134.4,9.0951,9.6984
25.762,3134.3,9.186,9.6964
25.772,3134.2,9.277,9.6944
25.782,3134.1,9.3682,9.6924
25.792,3134.1,9.4594,9.6904
25.802,3134,9.5506,9.6883
25.812,3133.9,9.642,9.6863
25.822,3133.8,9.7334,9.6842
25.832,3133.7,9.8249,9.682
25.842,3133.6,9.9165,9.6799
25.852,3133.5,10.008,9.6776
25.862,3133.4,10.1,9.6748
25.872,3133.3,10.192,9.6719
25.882,3133.2,10.283,9.669
25.892,3133.1,10.375,9.6661
25.902,3133,10.467,9.6631
25.912,3132.9,10.559,9.6601
25.922,3132.8,10.651,9.657
25.932,3132.7,10.743,9.6539
25.942,3132.6,10.835,9.6508
25.952,3132.5,10.927,9.6474
25.962,3132.4,11.019,9.6432
25.972,3132.3,11.111,9.6389
25.982,3132.2,11.203,9.6346
25.992,3132.1,11.295,9.6301
26.002,3132,11.387,9.6258
26.012,3131.8,11.479,9.6221
26.022,3131.7,11.571,9.6183
26.032,3131.6,11.663,9.6144
26.042,3131.5,11.755,9.6105
26.052,3131.4,11.847,9.6068
26.062,3131.3,11.939,9.6037
26.072,3131.2,12.031,9.6005
26.082,3131,12.123,9.5973
26.092,3130.9,12.215,9.5941
26.102,3130.8,12.307,9.5907
26.112,3130.7,12.4,9.5866
26.122,3130.6,12.492,9.5825
26.132,3130.4,12.584,9.5783
26.142,3130.3,12.676,9.574
26.152,3130.2,12.768,9.5701
26.162,3130.1,12.86,9.5674
26.172,3129.9,12.952,9.5647
26.182,3129.8,13.044,9.562
26.192,3129.7,13.136,9.5593
26.202,3129.6,13.228,9.5557
26.212,3129.4,13.32,9.5493
26.222,3129.3,13.412,9.5427
26.232,3129.2,13.504,9.5361
26.242,3129,13.596,9.5293
26.252,3128.9,13.688,9.5227
26.262,3128.8,13.78,9.5172
26.272,3128.6,13.871,9.5115
26.282,3128.5,13.963,9.5058
26.292,3128.4,14.055,9.5
26.302,3128.2,14.146,9.4945
26.312,3128.1,14.238,9.49
26.322,3127.9,14.329,9.4855
26.332,3127.8,14.421,9.481
26.342,3127.7,14.512,9.4764
26.352,3127.5,14.604,9.4718
26.362,3127.4,14.695,9.4668
26.372,3127.2,14.787,9.4618
26.382,3127.1,14.878,9.4568
26.392,3126.9,14.969,9.4517
26.402,3126.8,15.06,9.4466
26.412,3126.6,15.152,9.4412
26.422,3126.5,15.243,9.4358
26.432,3126.3,15.334,9.4304
26.442,3126.2,15.425,9.4249
26.452,3126,15.516,9.4191
26.462,3125.9,15.607,9.4122
26.472,3125.7,15.698,9.4052
26.482,3125.6,15.789,9.3982
26.492,3125.4,15.879,9.3911
26.502,3125.3,15.97,9.3843
26.512,3125.1,16.06,9.3783
26.522,3124.9,16.151,9.3722
26.532,3124.8,16.241,9.3662
26.542,3124.6,16.332,9.3602
26.552,3124.5,16.422,9.357
26.562,3124.3,16.512,9.3539
26.572,3124.1,16.603,9.3509
26.582,3124,16.693,9.3479
26.592,3123.8,16.783,9.3448
26.602,3123.6,16.874,9.3422
26.612,3123.5,16.964,9.341
26.622,3123.3,17.054,9.3398
26.632,3123.1,17.144,9.3386
26.642,3123,17.235,9.3374
26.652,3122.8,17.325,9.3359
26.662,3122.6,17.415,9.3331
26.672,3122.4,17.506,9.3303
26.682,3122.3,17.596,9.3276
26.692,3122.1,17.686,9.3248
26.702,3121.9,17.777,9.322
26.712,3121.7,17.867,9.3189
26.722,3121.6,17.957,9.3158
26.732,3121.4,18.048,9.3127
26.742,3121.2,18.138,9.3096
26.752,3121,18.228,9.3066
26.762,3120.8,18.318,9.3036
26.772,3120.7,18.408,9.3007
26.782,3120.5,18.499,9.2978
26.792,3120.3,18.589,9.2949
26.802,3120.1,18.679,9.2919
26.812,3119.9,18.769,9.2885
26.822,3119.7,18.859,9.2851
26.832,3119.6,18.949,9.2817
26.842,3119.4,19.039,9.2783
26.852,3119.2,19.129,9.2753
26.862,3119,19.219,9.2735
26.872,3118.8,19.309,9.2717
26.882,3118.6,19.399,9.2699
26.892,3118.4,19.489,9.2681
26.902,3118.2,19.579,9.266
26.912,3118,19.669,9.2631
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=26.922 seconds
27.108,3114.1,20.086,2.6957
27.313,3110,20.437,2.4368
27.542,3105.3,20.769,2.1828
27.814,3099.6,21.018,1.8369
28.139,3092.6,21.318,1.5389
28.536,3084,21.612,1.2584
29.036,3073.1,21.848,0.85773
29.536,3062,22.131,0.80369
30.036,3050.9,22.273,0.73942
30.536,3039.7,22.319,0.49088
31.036,3028.6,22.351,0.30466
31.536,3017.4,22.383,0.37016
32.036,3006.2,22.385,0.27702
32.536,2995,22.39,0.32455
33.036,2983.8,22.375,0.11673
33.536,2972.6,22.369,0.065044
34.036,2961.4,22.362,0.060995
34.536,2950.3,22.353,0.04124
35.036,2939.1,22.343,0.024995
35.536,2927.9,22.333,0.030513
36.036,2916.8,22.323,0.032201
36.536,2905.6,22.313,0.020893
37.036,2894.5,22.302,0.036965
37.536,2883.3,22.292,0.041075
38.036,2872.2,22.282,0.081904
38.536,2861.1,22.271,0.060209
39.036,2849.9,22.26,0.036614
39.536,2838.8,22.25,0.029405
40.036,2827.7,22.24,0.057182
40.536,2816.6,22.229,0.05748
41.036,2805.5,22.225,0.23905
41.536,2794.4,22.209,0.13037
42.036,2783.3,22.197,0.064284
42.536,2772.2,22.188,0.082458
43.036,2761.1,22.177,0.057255
43.536,2750,22.167,0.063667
44.036,2738.9,22.157,0.039127
44.536,2727.9,22.148,0.11867
45.036,2716.8,22.137,0.059522
45.536,2705.7,22.127,0.060136
46.036,2694.7,22.118,0.10884
46.536,2683.6,22.108,0.11595
47.036,2672.6,22.096,0.034326
47.536,2661.6,22.086,0.051206
48.036,2650.5,22.076,0.047409
48.536,2639.5,22.066,0.079697
49.036,2628.5,22.056,0.073719
49.536,2617.4,22.048,0.18375
50.036,2606.4,22.033,0.02699
50.536,2595.4,22.023,0.034378
51.036,2584.4,22.014,0.072216
51.536,2573.4,22.003,0.065906
52.036,2562.4,21.993,0.061231
52.536,2551.4,21.982,0.067056
53.036,2540.5,21.972,0.074383
53.536,2529.5,21.961,0.033027
54.036,2518.5,21.954,0.14567
54.536,2507.5,21.941,0.089342
55.036,2496.6,21.931,0.039641
55.536,2485.6,21.92,0.021142
56.036,2474.7,21.912,0.13151
56.536,2463.7,21.9,0.034054
57.036,2452.8,21.896,0.22531
57.536,2441.8,21.879,0.049889
58.036,2430.9,21.869,0.024551
58.536,2420,21.86,0.022935
59.036,2409.1,21.85,0.021958
59.536,2398.1,21.84,0.049082
60.036,2387.2,21.83,0.056104
60.536,2376.3,21.82,0.031148
61.036,2365.4,21.811,0.045248
61.536,2354.5,21.805,0.20009
62.036,2343.6,21.79,0.023531
62.536,2332.7,21.78,0.023705
63.036,2321.9,21.773,0.13837
63.536,2311,21.761,0.046647
64.036,2300.1,21.753,0.13314
64.536,2289.2,21.742,0.091822
65.036,2278.4,21.732,0.025297
65.536,2267.5,21.722,0.021928
66.036,2256.7,21.714,0.1138
66.536,2245.8,21.703,0.056054
67.036,2235,21.693,0.022155
67.536,2224.1,21.685,0.077986
68.036,2213.3,21.675,0.088833
68.536,2202.5,21.665,0.049117
69.036,2191.6,21.655,0.034222
69.536,2180.8,21.646,0.033807
70.036,2170,21.637,0.071039
70.536,2159.2,21.627,0.06557
71.036,2148.4,21.619,0.12322
71.536,2137.6,21.609,0.12581
72.036,2126.8,21.599,0.13416
72.536,2116,21.587,0.045269
73.036,2105.2,21.578,0.092812
73.536,2094.4,21.571,0.1924
74.036,2083.6,21.557,0.055841
74.536,2072.9,21.549,0.10972
75.036,2062.1,21.541,0.178
75.536,2051.3,21.53,0.15034
76.036,2040.6,21.518,0.036404
76.536,2029.8,21.509,0.019063
77.036,2019.1,21.5,0.095708
77.536,2008.4,21.491,0.10448
78.036,1997.6,21.483,0.16396
78.536,1986.9,21.472,0.14512
79.036,1976.2,21.46,0.041299
79.536,1965.4,21.452,0.073999
80.036,1954.7,21.444,0.14758
80.536,1944,21.432,0.044217
81.036,1933.3,21.423,0.019444
81.536,1922.6,21.415,0.112
82.036,1911.9,21.404,0.050323
82.536,1901.2,21.395,0.076056
83.036,1890.5,21.385,0.018966
83.536,1879.8,21.376,0.031574
84.036,1869.1,21.367,0.050924
84.536,1858.5,21.359,0.13032
85.036,1847.8,21.348,0.021385
85.536,1837.1,21.34,0.10639
86.036,1826.5,21.329,0.019342
86.536,1815.8,21.32,0.022592
87.036,1805.1,21.311,0.020081
87.536,1794.5,21.302,0.018293
88.036,1783.9,21.293,0.018327
88.536,1773.2,21.284,0.021714
89.036,1762.6,21.278,0.16919
89.536,1751.9,21.266,0.10904
90.036,1741.3,21.257,0.10257
90.536,1730.7,21.247,0.035157
91.036,1720.1,21.24,0.14588
91.536,1709.5,21.229,0.058757
92.036,1698.9,21.22,0.073857
92.536,1688.3,21.211,0.020472
93.036,1677.7,21.203,0.082442
93.536,1667.1,21.193,0.03395
94.036,1656.5,21.186,0.12358
94.536,1645.9,21.175,0.04422
95.036,1635.3,21.167,0.10507
95.536,1624.7,21.156,0.02169
96.036,1614.2,21.149,0.14841
96.536,1603.6,21.137,0.021674
97.036,1593,21.132,0.18679
97.536,1582.5,21.119,0.058433
98.036,1571.9,21.11,0.042444
98.536,1561.4,21.102,0.098481
99.036,1550.8,21.092,0.078141
99.536,1540.3,21.082,0.018135
100.04,1529.8,21.073,0.022183
100.54,1519.2,21.065,0.066756
101.04,1508.7,21.055,0.018014
101.54,1498.2,21.046,0.021477
102.04,1487.7,21.037,0.018133
102.54,1477.2,21.03,0.13382
103.04,1466.7,21.023,0.21642
103.54,1456.2,21.009,0.023583
104.04,1445.7,21,0.0484
104.54,1435.2,20.992,0.064104
105.04,1424.7,20.983,0.057408
105.54,1414.2,20.974,0.031194
106.04,1403.7,20.966,0.071514
106.54,1393.2,20.958,0.13357
107.04,1382.8,20.947,0.041312
107.54,1372.3,20.939,0.064136
108.04,1361.8,20.93,0.073134
108.54,1351.4,20.921,0.018272
109.04,1340.9,20.915,0.15279
109.54,1330.5,20.904,0.085846
110.04,1320,20.895,0.028258
110.54,1309.6,20.887,0.072127
111.04,1299.1,20.883,0.23117
111.54,1288.7,20.87,0.14698
112.04,1278.3,20.86,0.10332
112.54,1267.9,20.852,0.12526
113.04,1257.4,20.845,0.17237
113.54,1247,20.834,0.10484
114.04,1236.6,20.826,0.07615
114.54,1226.2,20.817,0.039934
115.04,1215.8,20.809,0.03712
115.54,1205.4,20.801,0.091215
116.04,1195,20.792,0.036529
116.54,1184.6,20.784,0.073667
117.04,1174.2,20.775,0.056649
117.54,1163.9,20.766,0.025925
118.04,1153.5,20.759,0.093355
118.54,1143.1,20.749,0.022881
119.04,1132.7,20.74,0.025857
119.54,1122.4,20.732,0.061377
120.04,1112,20.724,0.10501
120.54,1101.7,20.714,0.054839
121.04,1091.3,20.706,0.097771
121.54,1081,20.697,0.099312
122.04,1070.6,20.69,0.14701
122.54,1060.3,20.679,0.071075
123.04,1050,20.67,0.076946
123.54,1039.6,20.661,0.034844
124.04,1029.3,20.653,0.022972
124.54,1019,20.645,0.076281
125.04,1008.7,20.642,0.24844
125.54,998.36,20.628,0.13731
126.04,988.06,20.617,0.01967
126.54,977.75,20.611,0.10261
127.04,967.46,20.601,0.047335
127.54,957.16,20.595,0.13815
128.04,946.87,20.584,0.043474
128.54,936.59,20.576,0.048359
129.04,926.3,20.568,0.018102
129.54,916.03,20.56,0.054401
130.04,905.75,20.551,0.03809
130.54,895.48,20.543,0.073433
131.04,885.22,20.534,0.051532
131.54,874.96,20.528,0.15091
132.04,864.7,20.517,0.055394
132.54,854.45,20.509,0.049001
133.04,844.2,20.505,0.199
133.54,833.96,20.492,0.045803
134.04,823.72,20.484,0.080676
134.54,813.48,20.476,0.053154
135.04,803.25,20.468,0.077193
135.54,793.02,20.46,0.020288
136.04,782.8,20.452,0.022759
136.54,772.58,20.444,0.037406
137.04,762.36,20.436,0.073048
137.54,752.15,20.43,0.16944
138.04,741.94,20.418,0.03091
138.54,731.74,20.412,0.10705
139.04,721.54,20.405,0.15758
139.54,711.35,20.396,0.11993
140.04,701.16,20.386,0.051098
140.54,690.97,20.379,0.032821
141.04,680.79,20.371,0.085848
141.54,670.61,20.363,0.069935
142.04,660.43,20.355,0.046137
142.54,650.26,20.347,0.074953
143.04,640.09,20.34,0.1218
143.54,629.93,20.33,0.089919
144.04,619.77,20.323,0.12462
144.54,609.62,20.313,0.016079
145.04,599.47,20.305,0.028544
145.54,589.32,20.298,0.12574
146.04,579.18,20.288,0.042998
146.54,569.04,20.28,0.018074
147.04,558.91,20.274,0.14332
147.54,548.78,20.264,0.085884
148.04,538.65,20.258,0.16541
148.54,528.53,20.248,0.12567
149.04,518.41,20.239,0.064796
149.54,508.3,20.244,0.35072
150.04,498.19,20.225,0.20972
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=150.04 seconds
150.54,488.09,20.213,0.098892
150.55,487.91,20.205,55.738
150.55,487.72,19.705,52.535
150.57,487.53,19.205,49.413
150.58,487.33,18.705,46.371
150.59,487.13,18.205,43.409
150.6,486.91,17.705,40.527
150.61,486.69,17.206,37.726
150.63,486.45,16.705,35.004
150.64,486.2,16.205,32.363
150.66,485.94,15.705,29.802
150.68,485.67,15.205,27.321
150.7,485.38,14.706,24.922
150.72,485.07,14.206,22.604
150.74,484.74,13.706,20.362
150.77,484.39,13.205,18.201
150.8,484,12.706,16.122
150.84,483.58,12.206,14.123
150.88,483.11,11.706,12.205
150.93,482.58,11.206,10.365
150.99,481.97,10.706,8.6089
151.06,481.25,10.206,6.9292
151.15,480.37,9.7061,5.3323
151.28,479.19,9.2064,3.8162
151.49,477.41,8.7064,2.3774
151.96,473.67,8.2094,1.0635
152.46,469.78,7.7254,0.22033
152.96,465.87,7.8304,0.14487
153.46,461.97,7.802,0.068084
153.96,458.07,7.808,0.068044
154.46,454.17,7.8076,0.26512
154.96,450.26,7.8032,0.14401
155.46,446.36,7.8061,0.28605
155.96,442.46,7.8,0.096959
156.46,438.56,7.8046,0.30701
156.96,434.67,7.7976,0.13935
157.46,430.77,7.8089,0.51538
157.96,426.87,7.7902,0.053568
158.46,422.97,7.7979,0.11561
158.96,419.08,7.794,0.082199
159.46,415.18,7.8017,0.45402
159.96,411.29,7.7887,0.21036
160.46,407.39,7.7917,0.10858
160.96,403.5,7.7903,0.14516
161.46,399.6,7.7905,0.23774
161.96,395.71,7.7862,0.027509
162.46,391.82,7.7907,0.31841
162.96,387.93,7.7824,0.010343
163.46,384.04,7.7972,0.55876
163.96,380.15,7.7748,0.066121
164.46,376.26,7.7918,0.45175
164.96,372.37,7.7752,0.1069
165.46,368.48,7.7821,0.20605
165.96,364.59,7.7828,0.38856
166.46,360.71,7.7914,0.66695
166.96,356.82,7.7668,0.19166
167.46,352.94,7.7854,0.47477
167.96,349.05,7.7672,0.02599
168.46,345.16,7.7738,0.0081238
168.96,341.28,7.7764,0.37759
169.46,337.4,7.7664,0.038033
169.96,333.51,7.7708,0.17149
170.46,329.63,7.7675,0.15224
170.96,325.75,7.7665,0.1011
171.46,321.87,7.7705,0.36634
171.96,317.98,7.7608,0.024086
172.46,314.1,7.7646,0.14349
172.96,310.22,7.7671,0.38929
173.46,306.34,7.7628,0.37766
173.96,302.47,7.7575,0.13497
174.46,298.59,7.7643,0.37638
174.96,294.71,7.7583,0.34396
175.46,290.83,7.754,0.038616
175.96,286.96,7.7619,0.40389
176.46,283.08,7.7504,0.15298
176.96,279.21,7.7533,0.073266
177.46,275.33,7.7512,0.03053
177.96,271.46,7.7578,0.4289
178.46,267.58,7.7445,0.024138
178.96,263.71,7.7506,0.18259
179.46,259.84,7.7615,0.62791
179.96,255.97,7.736,0.029966
