# Arcturus (Up to date)
# 3227 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
3.9622,734.02,265.11,22.195
3.9722,736.67,264.88,22.169
3.9822,739.32,264.66,22.143
3.9922,741.96,264.44,22.118
4.0022,744.6,264.22,22.092
4.0122,747.25,264,22.066
4.0222,749.88,263.78,22.04
4.0322,752.52,263.56,22.015
4.0422,755.15,263.34,21.989
4.0522,757.78,263.12,21.964
4.0622,760.41,262.9,21.939
4.0722,763.04,262.68,21.914
4.0822,765.67,262.46,21.889
4.0922,768.29,262.24,21.864
4.1022,770.91,262.02,21.84
4.1122,773.53,261.81,21.815
4.1222,776.15,261.59,21.791
4.1322,778.76,261.37,21.767
4.1422,781.37,261.15,21.743
4.1522,783.98,260.93,21.719
4.1622,786.59,260.72,21.695
4.1722,789.19,260.5,21.67
4.1822,791.8,260.28,21.646
4.1922,794.4,260.07,21.622
4.2022,797,259.85,21.598
4.2122,799.59,259.64,21.574
4.2222,802.19,259.42,21.55
4.2322,804.78,259.21,21.526
4.2422,807.37,258.99,21.501
4.2522,809.96,258.78,21.477
4.2622,812.55,258.56,21.453
4.2722,815.13,258.35,21.429
4.2822,817.71,258.13,21.405
4.2922,820.29,257.92,21.381
4.3022,822.87,257.7,21.357
4.3122,825.44,257.49,21.333
4.3222,828.02,257.28,21.309
4.3322,830.59,257.06,21.285
4.3422,833.16,256.85,21.262
4.3522,835.72,256.64,21.238
4.3622,838.29,256.43,21.214
4.3722,840.85,256.22,21.19
4.3822,843.41,256,21.166
4.3922,845.97,255.79,21.143
4.4022,848.53,255.58,21.119
4.4122,851.08,255.37,21.096
4.4222,853.63,255.16,21.073
4.4322,856.18,254.95,21.049
4.4422,858.73,254.74,21.026
4.4522,861.28,254.53,21.003
4.4622,863.82,254.32,20.98
4.4722,866.36,254.11,20.957
4.4822,868.9,253.9,20.935
4.4922,871.44,253.69,20.912
4.5022,873.97,253.48,20.889
4.5122,876.51,253.27,20.867
4.5222,879.04,253.06,20.844
4.5322,881.57,252.85,20.822
4.5422,884.09,252.65,20.799
4.5522,886.62,252.44,20.777
4.5622,889.14,252.23,20.755
4.5722,891.66,252.02,20.733
4.5822,894.18,251.82,20.711
4.5922,896.7,251.61,20.689
4.6022,899.21,251.4,20.667
4.6122,901.72,251.2,20.644
4.6222,904.23,250.99,20.622
4.6322,906.74,250.78,20.6
4.6422,909.25,250.58,20.578
4.6522,911.75,250.37,20.557
4.6622,914.25,250.17,20.535
4.6722,916.75,249.96,20.513
4.6822,919.25,249.76,20.492
4.6922,921.75,249.55,20.47
4.7022,924.24,249.35,20.449
4.7122,926.73,249.14,20.427
4.7222,929.22,248.94,20.406
4.7322,931.71,248.73,20.385
4.7422,934.2,248.53,20.364
4.7522,936.68,248.33,20.342
4.7622,939.16,248.12,20.322
4.7722,941.64,247.92,20.301
4.7822,944.12,247.72,20.28
4.7922,946.59,247.52,20.259
4.8022,949.07,247.31,20.239
4.8122,951.54,247.11,20.218
4.8222,954.01,246.91,20.197
4.8322,956.48,246.71,20.177
4.8422,958.94,246.5,20.156
4.8522,961.41,246.3,20.136
4.8622,963.87,246.1,20.115
4.8722,966.33,245.9,20.095
4.8822,968.78,245.7,20.074
4.8922,971.24,245.5,20.053
4.9022,973.69,245.3,20.033
4.9122,976.14,245.1,20.012
4.9222,978.59,244.9,19.992
4.9322,981.04,244.7,19.971
4.9422,983.49,244.5,19.95
4.9522,985.93,244.3,19.93
4.9622,988.37,244.1,19.91
4.9722,990.81,243.9,19.889
4.9822,993.25,243.7,19.869
4.9922,995.68,243.5,19.849
5.0022,998.12,243.31,19.829
5.0122,1000.5,243.11,19.808
5.0222,1003,242.91,19.788
5.0322,1005.4,242.71,19.768
5.0422,1007.8,242.52,19.747
5.0522,1010.3,242.32,19.727
5.0622,1012.7,242.12,19.707
5.0722,1015.1,241.92,19.687
5.0822,1017.5,241.73,19.667
5.0922,1019.9,241.53,19.647
5.1022,1022.3,241.33,19.628
5.1122,1024.8,241.14,19.608
5.1222,1027.2,240.94,19.588
5.1322,1029.6,240.75,19.569
5.1422,1032,240.55,19.55
5.1522,1034.4,240.35,19.53
5.1622,1036.8,240.16,19.511
5.1722,1039.2,239.96,19.492
5.1822,1041.6,239.77,19.472
5.1922,1044,239.58,19.453
5.2022,1046.4,239.38,19.434
5.2122,1048.8,239.19,19.415
5.2222,1051.2,238.99,19.396
5.2322,1053.5,238.8,19.377
5.2422,1055.9,238.6,19.358
5.2522,1058.3,238.41,19.339
5.2622,1060.7,238.22,19.32
5.2722,1063.1,238.03,19.301
5.2822,1065.5,237.83,19.283
5.2922,1067.8,237.64,19.264
5.3022,1070.2,237.45,19.245
5.3122,1072.6,237.25,19.227
5.3222,1074.9,237.06,19.208
5.3322,1077.3,236.87,19.19
5.3422,1079.7,236.68,19.171
5.3522,1082.1,236.49,19.153
5.3622,1084.4,236.3,19.135
5.3722,1086.8,236.1,19.117
5.3822,1089.1,235.91,19.099
5.3922,1091.5,235.72,19.082
5.4022,1093.8,235.53,19.064
5.4122,1096.2,235.34,19.046
5.4222,1098.6,235.15,19.028
5.4322,1100.9,234.96,19.01
5.4422,1103.3,234.77,18.992
5.4522,1105.6,234.58,18.974
5.4622,1107.9,234.39,18.956
5.4722,1110.3,234.2,18.938
5.4822,1112.6,234.01,18.92
5.4922,1115,233.82,18.902
5.5022,1117.3,233.63,18.884
5.5122,1119.6,233.45,18.867
5.5222,1122,233.26,18.85
5.5322,1124.3,233.07,18.832
5.5422,1126.6,232.88,18.815
5.5522,1129,232.69,18.797
5.5622,1131.3,232.5,18.779
5.5722,1133.6,232.32,18.761
5.5822,1135.9,232.13,18.744
5.5922,1138.2,231.94,18.726
5.6022,1140.6,231.76,18.708
5.6122,1142.9,231.57,18.69
5.6222,1145.2,231.38,18.672
5.6322,1147.5,231.19,18.655
5.6422,1149.8,231.01,18.637
5.6522,1152.1,230.82,18.619
5.6622,1154.4,230.64,18.601
5.6722,1156.7,230.45,18.583
5.6822,1159,230.26,18.566
5.6922,1161.3,230.08,18.548
5.7022,1163.6,229.89,18.531
5.7122,1165.9,229.71,18.513
5.7222,1168.2,229.52,18.496
5.7322,1170.5,229.34,18.479
5.7422,1172.8,229.15,18.462
5.7522,1175.1,228.97,18.445
5.7622,1177.4,228.78,18.428
5.7722,1179.7,228.6,18.411
5.7822,1182,228.42,18.394
5.7922,1184.2,228.23,18.377
5.8022,1186.5,228.05,18.361
5.8122,1188.8,227.87,18.344
5.8222,1191.1,227.68,18.327
5.8322,1193.4,227.5,18.311
5.8422,1195.6,227.32,18.294
5.8522,1197.9,227.13,18.278
5.8622,1200.2,226.95,18.261
5.8722,1202.4,226.77,18.245
5.8822,1204.7,226.59,18.228
5.8922,1207,226.4,18.212
5.9022,1209.2,226.22,18.196
5.9122,1211.5,226.04,18.179
5.9222,1213.8,225.86,18.163
5.9322,1216,225.68,18.147
5.9422,1218.3,225.49,18.131
5.9522,1220.5,225.31,18.115
5.9622,1222.8,225.13,18.099
5.9722,1225,224.95,18.083
5.9822,1227.3,224.77,18.067
5.9922,1229.5,224.59,18.051
6.0022,1231.8,224.41,18.035
6.0122,1234,224.23,18.019
6.0222,1236.2,224.05,18.003
6.0322,1238.5,223.87,17.987
6.0422,1240.7,223.69,17.971
6.0522,1243,223.51,17.956
6.0622,1245.2,223.33,17.94
6.0722,1247.4,223.15,17.924
6.0822,1249.7,222.97,17.909
6.0922,1251.9,222.79,17.893
6.1022,1254.1,222.61,17.878
6.1122,1256.3,222.44,17.862
6.1222,1258.6,222.26,17.847
6.1322,1260.8,222.08,17.831
6.1422,1263,221.9,17.816
6.1522,1265.2,221.72,17.801
6.1622,1267.4,221.54,17.786
6.1722,1269.6,221.37,17.77
6.1822,1271.9,221.19,17.755
6.1922,1274.1,221.01,17.74
6.2022,1276.3,220.83,17.725
6.2122,1278.5,220.66,17.711
6.2222,1280.7,220.48,17.696
6.2322,1282.9,220.3,17.681
6.2422,1285.1,220.13,17.667
6.2522,1287.3,219.95,17.652
6.2622,1289.5,219.77,17.637
6.2722,1291.7,219.6,17.622
6.2822,1293.9,219.42,17.607
6.2922,1296.1,219.24,17.593
6.3022,1298.3,219.07,17.578
6.3122,1300.5,218.89,17.563
6.3222,1302.6,218.72,17.548
6.3322,1304.8,218.54,17.533
6.3422,1307,218.37,17.519
6.3522,1309.2,218.19,17.504
6.3622,1311.4,218.02,17.489
6.3722,1313.6,217.84,17.473
